epoch,batch,loss,val_loss
8,650,115.913834,
8,700,115.590813,
8,750,115.610023,
8,800,115.897751,
8,850,116.447128,
8,900,116.115379,
8,950,116.289330,
8,1000,116.743149,
8,1050,116.796585,
8,1100,116.414604,
8,1150,116.059769,
8,1200,115.587959,
8,1250,115.648384,
8,1300,115.919487,
8,1350,116.342613,
8,1400,115.983490,
8,1450,115.852074,
8,1500,115.766052,
8,1550,115.631020,
8,1600,115.946846,
8,1650,115.848885,
8,1700,116.099007,
8,end,116.170326,125.719460
9,0,106.182045,
9,50,111.004829,
9,100,113.667969,
9,150,110.710152,
9,200,109.778465,
9,250,109.073250,
9,300,109.398178,
9,350,109.924255,
9,400,109.546379,
9,450,110.090469,
9,500,110.085304,
9,550,109.432182,
9,600,109.117798,
9,650,109.802315,
9,700,109.797768,
9,750,109.950195,
9,800,110.067703,
9,850,110.186829,
9,900,110.458557,
9,950,110.698090,
9,1000,110.445168,
9,1050,110.330574,
9,1100,110.680397,
9,1150,110.711441,
9,1200,110.831230,
9,1250,110.854080,
9,1300,110.808899,
9,1350,111.097343,
9,1400,111.213661,
9,1450,111.340744,
9,1500,111.227135,
9,1550,111.534370,
9,1600,111.685463,
9,1650,112.145119,
9,1700,112.178978,
9,end,112.132172,123.970665
10,0,165.102905,
10,50,98.800507,
10,100,101.404846,
10,150,103.617027,
10,200,105.404053,
10,250,104.421295,
10,300,104.904091,
10,350,105.243889,
10,400,105.685051,
10,450,105.124062,
10,500,106.334656,
10,550,106.041245,
10,600,106.733719,
10,650,107.389320,
10,700,108.407616,
10,750,108.329903,
10,800,107.852058,
10,850,107.909462,
10,900,108.586037,
10,950,108.203430,
10,1000,108.566109,
10,1050,108.979095,
10,1100,108.807747,
10,1150,108.576157,
10,1200,108.554153,
10,1250,108.480354,
10,1300,108.141632,
10,1350,108.150406,
10,1400,108.386497,
10,1450,108.410866,
10,1500,108.349113,
10,1550,108.325378,
10,1600,108.227692,
10,1650,108.179131,
10,1700,108.193069,
10,end,108.064491,117.793396
11,0,111.031990,
11,50,98.127640,
11,100,105.438301,
11,150,106.516830,
11,200,105.380203,
11,250,104.973618,
11,300,104.593452,
11,350,104.398613,
11,400,103.244324,
11,450,102.366402,
11,500,103.093636,
11,550,103.083313,
11,600,103.381027,
11,650,103.271423,
11,700,103.765739,
11,750,103.898201,
11,800,103.819878,
11,850,103.917274,
11,900,103.970421,
11,950,103.921486,
11,1000,103.751030,
11,1050,103.423225,
11,1100,104.309319,
11,1150,104.003075,
11,1200,104.402557,
11,1250,103.944038,
11,1300,103.946724,
11,1350,103.872795,
11,1400,103.605858,
11,1450,103.998398,
11,1500,104.089890,
11,1550,103.953011,
11,1600,103.975906,
11,1650,103.873337,
11,1700,104.141785,
11,end,104.277542,121.269577
12,0,94.702988,
12,50,95.350075,
12,100,96.299210,
12,150,101.126740,
12,200,102.340523,
12,250,101.950775,
12,300,102.255219,
12,350,103.136436,
12,400,103.402916,
12,450,102.409317,
12,500,101.529480,
12,550,101.773384,
12,600,101.129105,
12,650,101.525452,
12,700,102.263702,
12,750,102.612167,
12,800,101.997665,
12,850,101.830170,
12,900,101.476349,
12,950,101.243744,
12,1000,100.305168,
12,1050,100.235687,
12,1100,100.392662,
12,1150,100.470032,
12,1200,100.508919,
12,1250,100.496384,
12,1300,100.412224,
12,1350,100.649918,
12,1400,100.325272,
12,1450,100.244164,
12,1500,100.443130,
12,1550,100.148712,
12,1600,99.940430,
12,1650,100.051064,
12,1700,100.184135,
12,end,100.124825,115.570808
13,0,112.041122,
13,50,97.073936,
13,100,94.268372,
13,150,93.998451,
13,200,93.543472,
13,250,93.909698,
13,300,94.093887,
13,350,95.257980,
13,400,95.693970,
13,450,95.834618,
13,500,95.635117,
13,550,95.823700,
13,600,96.135620,
13,650,95.723946,
13,700,95.657448,
13,750,95.905319,
13,800,95.875053,
13,850,95.812790,
13,900,96.227341,
13,950,96.319092,
13,1000,96.486626,
13,1050,96.325500,
13,1100,96.592163,
13,1150,96.620781,
13,1200,96.443077,
13,1250,96.264755,
13,1300,96.325867,
13,1350,96.411392,
13,1400,96.324821,
13,1450,96.431046,
13,1500,96.610748,
13,1550,96.642120,
13,1600,96.783546,
13,1650,96.589226,
13,1700,96.762756,
13,end,96.763992,117.015808
14,0,86.017197,
14,50,88.197586,
14,100,92.713371,
14,150,89.909004,
14,200,91.289200,
14,250,90.319405,
14,300,89.362968,
14,350,90.073860,
14,400,90.205620,
14,450,90.301361,
14,500,91.066277,
14,550,91.806992,
14,600,92.199364,
14,650,92.539635,
14,700,92.078766,
14,750,92.284561,
14,800,91.857559,
14,850,91.971046,
14,900,92.462593,
14,950,92.604622,
14,1000,92.962959,
14,1050,92.962074,
14,1100,92.941666,
14,1150,92.808846,
14,1200,92.788734,
14,1250,92.610703,
14,1300,92.751671,
14,1350,92.896904,
14,1400,92.776108,
14,1450,92.667061,
14,1500,92.512451,
14,1550,92.765472,
14,1600,92.572800,
14,1650,92.581383,
14,1700,92.377411,
14,end,92.434471,123.549820
15,0,65.037888,
15,50,70.905441,
15,100,76.652992,
15,150,81.183357,
15,200,83.032776,
15,250,83.960884,
15,300,82.779037,
15,350,83.084686,
15,400,84.166656,
15,450,83.575043,
15,500,85.158180,
15,550,86.304741,
15,600,85.944786,
15,650,86.600304,
15,700,86.183105,
15,750,86.723938,
15,800,86.381622,
15,850,86.704292,
15,900,87.031700,
15,950,87.056046,
15,1000,87.406036,
15,1050,87.964706,
15,1100,88.431549,
15,1150,88.757149,
15,1200,88.852997,
15,1250,89.043892,
15,1300,89.386589,
15,1350,89.941612,
15,1400,90.550117,
15,1450,91.034149,
15,1500,91.001556,
15,1550,91.289162,
15,1600,91.666290,
15,1650,92.130699,
15,1700,92.096748,
15,end,92.156281,121.344620
16,0,77.478065,
16,50,95.156494,
16,100,91.113899,
16,150,95.123863,
16,200,95.125038,
16,250,94.644310,
16,300,95.639938,
16,350,94.663551,
16,400,97.195900,
16,450,97.899506,
16,500,99.017151,
16,550,103.034607,
16,600,104.757111,
16,650,105.279152,
16,700,106.094658,
16,750,106.720230,
16,800,108.053673,
16,850,108.504181,
16,900,109.006569,
16,950,108.375557,
16,1000,108.047424,
16,1050,108.279778,
16,1100,107.768860,
16,1150,107.336594,
16,1200,108.612144,
16,1250,109.442024,
16,1300,109.394020,
16,1350,109.622162,
16,1400,109.541832,
16,1450,110.182030,
16,1500,110.419861,
16,1550,110.188110,
16,1600,110.248970,
16,1650,110.603523,
16,1700,110.794090,
16,end,110.809204,133.596985
17,0,59.921799,
17,50,115.554024,
17,100,110.878525,
17,150,112.697952,
17,200,119.209747,
17,250,124.030968,
17,300,122.053673,
17,350,122.968491,
17,400,123.903572,
17,450,124.760719,
17,500,125.520737,
17,550,126.700134,
17,600,127.989166,
17,650,127.722054,
17,700,126.114517,
17,750,126.229446,
17,800,126.322746,
17,850,127.329117,
17,900,127.198509,
17,950,127.842453,
17,1000,128.578735,
17,1050,129.102524,
17,1100,128.960999,
17,1150,128.780289,
17,1200,128.297852,
17,1250,128.289200,
17,1300,127.643448,
17,1350,127.341606,
17,1400,127.135033,
17,1450,127.561150,
17,1500,127.477386,
17,1550,127.782684,
17,1600,127.855278,
17,1650,127.861717,
17,1700,128.700272,
17,end,128.591354,135.702484
